What is an IAM Role?	<p>An IAM Role is an identity in AWS that can be assumed by users, applications, or AWS services. It grants temporary permissions and is used for cross-account access, AWS services, and identity federation.</p>
What are the two types of IAM Role policies?	<ul> <li><strong>Trust Policy</strong>: Defines who can assume the role</li> <li><strong>Permissions Policy</strong>: Defines what actions the role can perform</li> </ul>
What are common use cases for IAM Roles?	<ul> <li>AWS service permissions (e.g., Lambda execution role)</li> <li>Cross-account access</li> <li>Identity federation with external authentication providers</li> <li>Temporary security credentials for applications</li> </ul>
What is a Service-Linked Role?	<p>A predefined IAM Role created and managed by an AWS service to perform tasks on behalf of the user. It cannot be deleted while in use.</p>
What is AWS Organizations?	<p>AWS Organizations allows centralized management of multiple AWS accounts under a single hierarchy. It supports consolidated billing, security controls, and policy enforcement.</p>
What are the benefits of AWS Organizations?	<ul> <li><strong>Consolidated billing</strong> for multiple accounts</li> <li><strong>Centralized security and identity management</strong></li> <li><strong>Account hierarchy with Organizational Units (OUs)</strong></li> <li><strong>Bulk permissions management via Service Control Policies (SCPs)</strong></li> </ul>
What is an Organizational Unit (OU) in AWS Organizations?	<p>An Organizational Unit (OU) is a logical grouping of AWS accounts within AWS Organizations, allowing policy enforcement and access control at scale.</p>
What is the OrganizationAccountAccessRole?	<p>A default IAM Role created when an AWS account is added to an organization, allowing the management account to assume access.</p>
What are Service Control Policies (SCPs)?	<p>SCPs are policies applied at the organization level to define the maximum available permissions for accounts, OUs, or the root account.</p>
Do Service Control Policies (SCPs) grant permissions?	<p>No, SCPs only define the maximum available permissions. Actual permissions must be granted by IAM policies.</p>
What is AWS Control Tower?	<p>AWS Control Tower is a service that simplifies multi-account AWS management by automating setup, governance, and best practices using AWS Organizations.</p>
What is a Landing Zone in AWS Control Tower?	<p>A Landing Zone is a secure, scalable, multi-account AWS environment following best practices, including pre-configured security, networking, and governance settings.</p>
What are Guardrails in AWS Control Tower?	<p>Guardrails are policies that enforce compliance in AWS accounts. They can be <strong>preventive</strong> (blocking actions) or <strong>detective</strong> (monitoring compliance).</p>
What is the purpose of the AWS Control Tower Account Factory?	<p>The Account Factory automates the provisioning of AWS accounts with predefined security and governance settings, making account creation consistent and scalable.</p>
What is Amazon CloudWatch?	<p>Amazon CloudWatch is a monitoring and observability service that collects and manages operational data, including metrics, logs, and events, for AWS resources and on-premises infrastructure.</p>
What are the key components of CloudWatch?	<ul> <li><strong>Metrics</strong>: Track performance indicators like CPU usage, memory, RPS.</li> <li><strong>Logs</strong>: Stores and monitors log data.</li> <li><strong>Events</strong>: Captures service or scheduled events.</li> <li><strong>Alarms</strong>: Trigger actions based on metric thresholds.</li> </ul>
What is a CloudWatch namespace?	<p>A namespace is a logical container for CloudWatch metrics. AWS services use the format <code>AWS/Service</code>, e.g., <code>AWS/EC2</code>.</p>
What are CloudWatch Alarms and their possible states?	<p>CloudWatch Alarms monitor metrics and trigger actions based on thresholds. Possible states: - <strong>OK</strong>: Metric is within the expected threshold. - <strong>Alarm</strong>: Metric has exceeded the defined threshold.</p>
What is CloudWatch Logs used for?	<p>CloudWatch Logs stores, monitors, and retrieves logging data from AWS services, applications, and on-premises environments.</p>
What is the difference between a CloudWatch Log Group and a Log Stream?	<ul> <li><strong>Log Group</strong>: A collection of log streams, defined by a common retention policy.</li> <li><strong>Log Stream</strong>: A sequence of log events from the same source (e.g., an EC2 instance or Lambda execution).</li> </ul>
What is AWS CloudTrail?	<p>AWS CloudTrail records API calls and activities as events, providing an audit log of actions taken in AWS accounts.</p>
What are the two types of CloudTrail events?	<ul> <li><strong>Management Events</strong>: Record control plane actions (e.g., creating/stopping EC2 instances, IAM changes). Tracked by default.</li> <li><strong>Data Events</strong>: Track resource-level operations (e.g., S3 object modifications, Lambda executions). Must be explicitly enabled.</li> </ul>
Where can CloudTrail logs be stored?	<ul> <li><strong>S3</strong> (cost-effective, small JSON files)</li> <li><strong>CloudWatch Logs</strong> (for real-time analysis)</li> </ul>
How long does CloudTrail store Event History by default?	<p>CloudTrail Event History stores events for 90 days by default.</p>
What is an Organization Trail in CloudTrail?	<p>An Organization Trail tracks activities across all AWS accounts within an AWS Organization, providing centralized auditing.</p>
Is CloudTrail real-time?	<p>No, CloudTrail has a typical event delivery delay of about 15 minutes.</p>
What is AWS Key Management Service (KMS)?	<p>AWS KMS is a regional, public service for managing encryption keys and performing cryptographic operations while ensuring security compliance.</p>
What are KMS keys (formerly CMKs)?	<p>KMS keys are key containers storing encryption metadata, including an ID, creation date, policy, and state.</p>
How does AWS KMS enforce security?	<ul> <li>Keys never leave KMS.</li> <li>Supports <strong>FIPS 140-2 L2</strong> security compliance.</li> <li>Uses role-based access control for key management and operations.</li> </ul>
What is the maximum amount of data KMS keys can encrypt directly?	<p>KMS keys can encrypt up to <strong>4 KB</strong> of data directly.</p>
What are Data Encryption Keys (DEKs)?	<p>DEKs are encryption keys generated by KMS that can encrypt large amounts of data. KMS does not store or manage DEKs; only their encrypted versions.</p>
What happens when you generate a Data Encryption Key (DEK) in KMS?	<p>KMS returns two versions of the key: - A <strong>plaintext DEK</strong> for immediate encryption use. - An <strong>encrypted DEK</strong> that can be stored and later decrypted by KMS.</p>
What are the two key ownership models in AWS KMS?	<ul> <li><strong>AWS-Owned Keys</strong>: Managed by AWS, no customer control.</li> <li><strong>Customer-Managed Keys (CMKs)</strong>: Fully controlled by the customer, including policies, permissions, and rotation.</li> </ul>
What are the key rotation policies for AWS KMS keys?	<ul> <li><strong>AWS-Owned Keys</strong>: Automatically rotated annually.</li> <li><strong>Customer-Managed Keys</strong>: Rotation is optional and can be enabled by the user.</li> </ul>
What are KMS Key Policies?	<p>KMS Key Policies are mandatory access control policies that define permissions for managing and using KMS keys.</p>
How does KMS handle decryption?	<p>When decrypting data, the key ID is embedded in the encrypted data, allowing KMS to automatically identify and use the correct key.</p>
What is Amazon S3?	<p>Amazon S3 (Simple Storage Service) is a global object storage platform with regional resilience. It provides virtually unlimited storage, multi-user support, and cost-efficient pricing.</p>
How does Amazon S3 achieve regional resilience?	<p>Amazon S3 achieves regional resilience by automatically replicating data across multiple Availability Zones (Multi-AZ replication) within a single AWS region.</p>
What are the main components of an S3 object?	<ul> <li><strong>Key</strong>: The unique identifier for an object within a bucket.</li> <li><strong>Value</strong>: The actual data stored (0 bytes to 5TB per object).</li> <li><strong>Version ID</strong>: Present if versioning is enabled.</li> <li><strong>Metadata</strong>: Key-value pairs storing additional data.</li> <li><strong>Access Control Subresources</strong>: Defines permissions at the object level.</li> </ul>
What are S3 buckets, and what are their key properties?	<p>S3 buckets are regional containers for storing objects. Key properties include: - <strong>Globally unique names</strong> - <strong>Regionally-scoped data locality</strong> - <strong>Unlimited object storage</strong> - <strong>Flat storage structure</strong> - <strong>100-bucket soft limit per account (expandable to 1,000)</strong></p>
What are the naming rules for S3 buckets?	<ul> <li>Must be <strong>3-63 characters long</strong></li> <li>Only lowercase letters, numbers, and hyphens (<code>-</code>)</li> <li>Cannot contain underscores (<code>_</code>) or IP addresses (e.g., <code>192.168.1.1</code>)</li> <li>Must start with a lowercase letter or number</li> </ul>
How does S3 handle access control?	<p>S3 buckets are private by default. Access control can be managed using: - IAM Policies (identity-based permissions) - Resource Policies (bucket policies) - Access Control Lists (ACLs) (legacy method) - Block Public Access settings (to prevent unintended exposure)</p>
What is the difference between IAM policies and S3 resource policies?	<ul> <li><strong>IAM Policies</strong>: Define permissions for users and roles within an AWS account (do not specify a principal).</li> <li><strong>Resource Policies</strong>: Define access at the bucket or object level and can allow cross-account access (require a principal).</li> </ul>
What is an S3 Access Control List (ACL), and why is it considered legacy?	<p>An S3 ACL is a legacy access control method that defines permissions at the bucket and object levels but lacks support for conditions and cross-object assignments.</p>
What is S3 Static Website Hosting?	<p>S3 Static Website Hosting allows an S3 bucket to serve as a web host for static content. It requires enabling the feature, specifying an index document, and optionally an error document.</p>
What must the bucket name match when using S3 static hosting with a custom domain?	<p>The bucket name must match the domain name when using S3 static hosting with a custom domain via Route 53.</p>
What are common use cases for S3 static hosting?	<ul> <li><strong>Offloading static assets</strong> (e.g., images, CSS, JS)</li> <li><strong>Hosting status or error pages</strong> during outages</li> <li><strong>Storing backups and logs</strong></li> </ul>
What are the cost factors associated with S3?	<p>S3 pricing is based on: - <strong>Storage usage</strong> (per GB) - <strong>Data transfer</strong> (in and out) - <strong>Request types</strong> (e.g., PUT, COPY, POST, DELETE, GET)</p>
What is S3 Object Versioning, and can it be disabled?	<p>S3 Object Versioning allows multiple versions of an object to be stored within a bucket. Once enabled, it cannot be disabled, only suspended.</p>
What happens when an object is deleted in a versioned S3 bucket?	<p>When an object is deleted, S3 creates a <strong>delete marker</strong>, which hides all previous versions. To permanently delete an object, a <strong>version delete</strong> operation must be performed.</p>
What is MFA Delete in S3 Versioning?	<p>MFA Delete requires multi-factor authentication to change versioning settings or permanently delete object versions, enhancing security.</p>
What is S3 Multipart Upload, and why is it beneficial?	<p>Multipart Upload allows large files to be uploaded in parallel parts, improving speed and reliability. It is recommended for files larger than 100MB and supports up to 10,000 parts.</p>
What is S3 Transfer Acceleration?	<p>S3 Transfer Acceleration speeds up data transfers over long distances by routing traffic through AWS edge locations and using the AWS global network.</p>
What are the types of Server-Side Encryption (SSE) in S3?	<ul> <li><strong>SSE-S3</strong>: Default encryption using AWS-managed S3 keys (AES-256).</li> <li><strong>SSE-KMS</strong>: Uses AWS Key Management Service (KMS) for enhanced security.</li> <li><strong>SSE-C</strong>: Uses customer-provided encryption keys, requiring the client to manage key security.</li> </ul>
What is a Bucket Key in AWS S3?	<p>A Bucket Key reduces the number of KMS API calls by generating a time-limited key for a bucket, lowering costs and improving scalability.</p>
What happens to an object's ETag when it is transferred between S3 buckets with different encryption settings?	<p>If the source bucket has no encryption but the destination bucket enforces encryption, the object's ETag changes because the content hash differs due to encryption.</p>
What is the default S3 storage class, and how does it work?	<p>The default S3 storage class is <strong>S3 Standard</strong>, which replicates objects across at least three Availability Zones (AZs) and provides millisecond latency.</p>
What is S3 Standard-Infrequent Access (IA), and when should it be used?	<p>S3 Standard-IA is for infrequently accessed data, offering lower storage costs but with retrieval fees. Minimum storage duration: <strong>30 days</strong>.</p>
What is S3 One Zone-Infrequent Access?	<p>S3 One Zone-IA is similar to Standard-IA but stores data in only one Availability Zone, making it cheaper but less resilient.</p>
What are the retrieval options for S3 Glacier Flexible Retrieval?	<ul> <li><strong>Expedited</strong>: 1-5 minutes (high cost)</li> <li><strong>Standard</strong>: 3-5 hours</li> <li><strong>Bulk</strong>: 5-12 hours (lowest cost)</li> </ul>
How does S3 Glacier Deep Archive compare to other Glacier storage classes?	<p>S3 Glacier Deep Archive is the cheapest S3 storage class with retrieval times of <strong>12-48 hours</strong> and a minimum storage duration of <strong>180 days</strong>.</p>
How does S3 Intelligent-Tiering optimize storage costs?	<p>S3 Intelligent-Tiering automatically moves objects between different storage tiers based on access patterns, optimizing costs while maintaining availability.</p>
What are the five tiers of S3 Intelligent-Tiering?	<ul> <li><strong>Frequent Access</strong>: Same as S3 Standard.</li> <li><strong>Infrequent Access</strong>: Similar to Standard-IA, no retrieval fees.</li> <li><strong>Archive Instant Access</strong>: Like Glacier Instant Retrieval.</li> <li><strong>Archive Access</strong>: Similar to Glacier Flexible Retrieval.</li> <li><strong>Deep Archive Access</strong>: Same as Glacier Deep Archive.</li> </ul>
What is S3 Lifecycle Configuration?	<p>S3 Lifecycle Configuration is a set of rules that automate object transitions between storage classes or delete objects based on age and access patterns.</p>
What are the key rules of S3 Lifecycle transitions?	<ul> <li>Objects can only move <strong>downward</strong> in the storage hierarchy.</li> <li>A single rule <strong>cannot</strong> transition an object from Standard-IA → One Zone-IA → Glacier within 30 days.</li> <li>Intelligent-Tiering should be used for automatic access-based transitions.</li> </ul>
What are the two types of S3 replication?	<ul> <li><strong>Cross-Region Replication (CRR)</strong>: Replicates objects across AWS regions.</li> <li><strong>Same-Region Replication (SRR)</strong>: Replicates objects within the same AWS region.</li> </ul>
What are the requirements for enabling S3 replication?	<ul> <li>Versioning must be enabled on both source and destination buckets.</li> <li>The source bucket must assume a role to replicate objects.</li> <li>If the destination bucket is in a different account, it must trust the replication role.</li> </ul>
What types of data cannot be replicated in S3 replication?	<ul> <li>System events</li> <li>Lifecycle actions</li> <li>Bucket configurations</li> <li>Tags</li> <li>ACLs</li> <li>Objects stored in Glacier or Glacier Deep Archive</li> </ul>
What is a Presigned URL in S3?	<p>A Presigned URL is a temporary, secure URL that grants time-limited access to an S3 object without making the bucket public.</p>
How can a Presigned URL be generated?	<p>Presigned URLs can be generated using: - AWS CLI - AWS SDKs - AWS Console</p>
What are the key considerations when using Presigned URLs?	<ul> <li>You can generate a presigned URL for objects you <strong>do not</strong> have access to.</li> <li>The permissions of the URL match the identity that generated it.</li> <li>URLs generated using <strong>roles</strong> expire when the role credentials expire.</li> <li>The default expiration time is <strong>3600 seconds (1 hour)</strong> but can be modified.</li> </ul>
What is S3 Select and Glacier Select?	<p>S3 Select and Glacier Select allow retrieving specific parts of an object using <strong>SQL-like queries</strong>, reducing data transfer costs.</p>
What file formats are supported by S3 Select?	<ul> <li>CSV</li> <li>JSON</li> <li>Parquet</li> </ul>
What are S3 Events?	<p>S3 Events allow notification of AWS services (SNS, SQS, Lambda) when certain events occur in an S3 bucket.</p>
What types of events can S3 generate notifications for?	<ul> <li>Object creation (PUT, POST, COPY, MultipartUpload)</li> <li>Object deletion (Delete, DeleteMarkerCreated)</li> <li>Glacier restore events</li> <li>Replication failures</li> </ul>
What are the limitations of S3 event notifications?	<ul> <li>Maximum notification delay is <strong>15 minutes</strong>.</li> <li>Notifications are delivered <strong>at least once</strong>.</li> <li>Versioned buckets can track specific object versions.</li> </ul>
What is an S3 Access Log?	<p>S3 Access Logs store activity logs for a bucket in another bucket, helping with monitoring and auditing.</p>
What is S3 Object Lock?	<p>S3 Object Lock enforces Write Once Read Many (WORM) policies, preventing object modifications and deletions.</p>
What are the two modes of S3 Object Lock?	<ul> <li><strong>Compliance Mode</strong>: Prevents all modifications and deletions, even by administrators.</li> <li><strong>Governance Mode</strong>: Allows privileged users to modify or delete objects with the correct permissions.</li> </ul>
What is the difference between S3 Retention Period and Legal Hold?	<ul> <li><strong>Retention Period</strong>: Objects are protected for a fixed duration (cannot be shortened).</li> <li><strong>Legal Hold</strong>: Can be turned ON or OFF anytime, blocking deletions and modifications.</li> </ul>
What is an S3 Access Point?	<p>S3 Access Points simplify access management by providing multiple access point policies instead of a single large bucket policy.</p>
What is a Virtual Private Cloud (VPC) in AWS?	<p>A VPC is an isolated network within AWS that allows users to define IP ranges, subnets, and network configurations for their AWS resources.</p>
Is a VPC a regional or global AWS service?	<p>A VPC is a regional service, meaning each VPC exists in a single AWS region.</p>
What are the two types of VPCs in AWS?	<ul> <li><strong>Default VPC</strong>: Created automatically in each region, includes a /16 CIDR, an internet gateway, and public subnets.</li> <li><strong>Custom VPC</strong>: Manually created, allowing more control over IP ranges, routing, and security.</li> </ul>
What is the maximum and minimum size of a VPC?	<ul> <li><strong>Minimum</strong>: /28 (16 IPs)</li> <li><strong>Maximum</strong>: /16 (65,536 IPs)</li> </ul>
What is the purpose of CIDR in VPCs?	<p>CIDR (Classless Inter-Domain Routing) defines the IP address range for a VPC and its subnets. A VPC can have multiple CIDR blocks.</p>
What is a VPC subnet?	<p>A subnet is a segment of a VPC assigned to an Availability Zone, providing isolated network spaces within a VPC.</p>
How many IP addresses are reserved in an AWS subnet?	<p>AWS reserves <strong>5 IP addresses per subnet</strong>: - <strong>First</strong>: Network address - <strong>Second</strong>: VPC router - <strong>Third</strong>: Reserved for AWS DNS - <strong>Fourth</strong>: Reserved for future use - <strong>Last</strong>: Broadcast address</p>
What is the difference between public and private subnets?	<ul> <li><strong>Public subnet</strong>: Has direct access to the internet via an Internet Gateway (IGW).</li> <li><strong>Private subnet</strong>: No direct internet access, usually requires a NAT Gateway or VPN.</li> </ul>
What is a VPC route table?	<p>A VPC route table contains routes that determine how traffic is directed within a VPC. Each subnet is associated with a route table.</p>
What happens if a VPC has multiple matching routes in a route table?	<p>The route with the <strong>most specific prefix</strong> (highest subnet mask) takes priority.</p>
What is an Internet Gateway (IGW)?	<p>An IGW is a VPC component that enables internet access for instances with public IPs in a public subnet.</p>
How does AWS handle public IPv4 addresses with an IGW?	<p>Public IPv4 addresses do not directly reach instances. Instead, the IGW maps public IPs to the private IPs of instances within the VPC.</p>
What is a Bastion Host (Jumpbox)?	<p>A Bastion Host is a <strong>hardened server</strong> used as a secure entry point for SSH or RDP access to private instances in a VPC.</p>
What is the difference between a stateful and a stateless firewall?	<ul> <li><strong>Stateless Firewall</strong>: Treats inbound and outbound traffic as separate, requiring separate rules for requests and responses.</li> <li><strong>Stateful Firewall</strong>: Tracks connections, automatically allowing responses to allowed requests.</li> </ul>
What are the two types of AWS firewalls used for VPC security?	<ul> <li><strong>Security Groups (SGs)</strong>: Stateful firewall applied at the instance level.</li> <li><strong>Network ACLs (NACLs)</strong>: Stateless firewall applied at the subnet level.</li> </ul>
What is VPC Peering?	<p>VPC Peering allows two VPCs to communicate privately using AWS's internal network, but it is <strong>not transitive</strong> (i.e., peered VPCs cannot automatically communicate with each other).</p>
What is AWS Transit Gateway?	<p>AWS Transit Gateway is a scalable service that connects multiple VPCs and on-premises networks in a <strong>hub-and-spoke model</strong>.</p>
What is VPC Endpoint?	<p>A VPC Endpoint allows private connectivity between a VPC and AWS services (e.g., S3, DynamoDB) without using the internet.</p>
What are the two types of VPC Endpoints?	<ul> <li><strong>Interface Endpoint</strong>: Uses ENIs (Elastic Network Interfaces) for private connections.</li> <li><strong>Gateway Endpoint</strong>: Used for S3 and DynamoDB traffic.</li> </ul>
What is a NAT Gateway, and why is it used?	<p>A NAT Gateway allows instances in a <strong>private subnet</strong> to access the internet while preventing inbound traffic from the internet.</p>
What is AWS Direct Connect?	<p>AWS Direct Connect is a dedicated network connection between an on-premises data center and AWS, providing low latency and high bandwidth.</p>
What is AWS Site-to-Site VPN?	<p>AWS Site-to-Site VPN establishes a secure IPsec connection between an on-premises network and AWS.</p>
What is a Network Access Control List (NACL) in AWS VPC?	<p>A NACL is a stateless firewall applied at the subnet level in a VPC that controls inbound and outbound traffic crossing the subnet boundary.</p>
How does a NACL differ from a Security Group?	<ul> <li><strong>NACLs are stateless</strong>, meaning both inbound and outbound rules must be explicitly defined.</li> <li><strong>Security Groups are stateful</strong>, meaning responses to allowed inbound traffic are automatically permitted.</li> <li><strong>NACLs allow explicit DENY rules</strong>, while Security Groups do not.</li> </ul>
What happens to traffic not explicitly allowed in a custom NACL?	<p>Custom NACLs <strong>deny all traffic by default</strong> until explicit allow rules are added.</p>
Can a subnet be associated with multiple NACLs?	<p>No, a subnet can have only <strong>one</strong> NACL, but a NACL can be associated with multiple subnets.</p>
What is the purpose of a NAT Gateway?	<p>A NAT Gateway enables instances in a <strong>private subnet</strong> to access the internet while preventing inbound traffic from the internet.</p>
Where must a NAT Gateway be deployed?	<p>A NAT Gateway must be deployed in a <strong>public subnet</strong> and associated with an <strong>Elastic IP</strong>.</p>
How can you achieve high availability with NAT Gateways?	<p>Deploy <strong>one NAT Gateway per Availability Zone (AZ)</strong> and configure separate route tables to prevent single points of failure.</p>
Does NAT work with IPv6?	<p>No, NAT does <strong>not work</strong> with IPv6. Instead, AWS provides <strong>Egress-Only Internet Gateways</strong> to allow outbound traffic while blocking inbound connections.</p>
What are VPC Flow Logs?	<p>VPC Flow Logs capture <strong>metadata</strong> (not packet data) about network traffic within a VPC at the VPC, subnet, or ENI level.</p>
Where can VPC Flow Logs be stored?	<p>VPC Flow Logs can be sent to <strong>S3, CloudWatch Logs, or Athena</strong> for querying and analysis.</p>
What is an Egress-Only Internet Gateway (EIGW)?	<p>An Egress-Only Internet Gateway allows IPv6 traffic to reach the internet <strong>outbound only</strong>, while preventing inbound connections.</p>
What is a VPC Endpoint?	<p>A VPC Endpoint allows private connectivity between a VPC and AWS services without requiring internet access.</p>
What are the two types of VPC Endpoints?	<ul> <li><strong>Gateway Endpoint</strong>: Used for S3 and DynamoDB, modifies route tables to direct traffic privately.</li> <li><strong>Interface Endpoint</strong>: Uses AWS PrivateLink, enables private connectivity over AWS's internal network.</li> </ul>
Which VPC Endpoint type is highly available by default?	<p><strong>Gateway Endpoints</strong> are highly available across all Availability Zones (AZs) in a region.</p>
What are the main differences between Gateway Endpoints and Interface Endpoints?	<ul> <li><strong>Gateway Endpoints</strong> use <strong>route tables</strong>, support <strong>S3 and DynamoDB</strong>, and require no app modifications.</li> <li><strong>Interface Endpoints</strong> use <strong>AWS PrivateLink</strong>, require DNS configuration, and support many AWS services.</li> </ul>
What is VPC Peering?	<p>VPC Peering enables private, direct communication between two VPCs, either within the same region or across regions.</p>
Is VPC Peering transitive?	<p>No, VPC Peering is <strong>not transitive</strong>. If VPC A is peered with VPC B and VPC B is peered with VPC C, VPC A cannot communicate with VPC C.</p>
What are the key requirements for VPC Peering?	<ul> <li><strong>CIDR blocks must not overlap</strong>.</li> <li><strong>Route tables must be updated</strong> to allow communication.</li> <li><strong>NACLs and Security Groups</strong> must allow traffic.</li> </ul>
What is AWS Transit Gateway?	<p>AWS Transit Gateway is a <strong>scalable network hub</strong> that connects multiple VPCs and on-premises networks in a <strong>hub-and-spoke model</strong>.</p>
How does AWS Transit Gateway differ from VPC Peering?	<ul> <li><strong>VPC Peering</strong> is <strong>not transitive</strong>, requiring separate peering connections.</li> <li><strong>Transit Gateway</strong> allows <strong>centralized connectivity</strong> between multiple VPCs and on-premises networks.</li> </ul>
What is Amazon EC2?	<p>Amazon EC2 (Elastic Compute Cloud) is an Infrastructure as a Service (IaaS) offering that provides virtual machines (instances) as the primary cost unit for compute resources in AWS.</p>
What are the key characteristics of EC2 instances?	<ul> <li><strong>Instances are the cost unit</strong></li> <li><strong>Private by default</strong> (must be configured for public access)</li> <li><strong>Run in a single Availability Zone</strong></li> <li><strong>Can be resized and scaled dynamically</strong></li> </ul>
What are the different EC2 billing models?	<ul> <li><strong>On-Demand</strong>: Pay per hour/second with no commitment.</li> <li><strong>Reserved Instances</strong>: Discounted rate for long-term commitments.</li> <li><strong>Spot Instances</strong>: Unused capacity at deep discounts.</li> <li><strong>Dedicated Hosts</strong>: Physical servers dedicated to one customer.</li> <li><strong>Savings Plans</strong>: Flexible pricing commitments for compute usage.</li> </ul>
What are the available storage options for EC2 instances?	<ul> <li><strong>Instance Store</strong>: Ephemeral, non-persistent storage that is lost when the instance stops.</li> <li><strong>Elastic Block Store (EBS)</strong>: Persistent, network-attached storage that retains data across instance restarts.</li> </ul>
What happens to an EC2 instance when it is stopped?	<p>The instance no longer incurs compute costs, but <strong>EBS storage charges continue</strong>.</p>
What is an Amazon Machine Image (AMI)?	<p>An AMI is a blueprint for launching EC2 instances, containing an operating system, applications, configurations, and associated storage volumes.</p>
What are the key characteristics of AMIs?	<ul> <li><strong>AMIs are regional</strong> and must be copied to be used in other regions.</li> <li><strong>They can be private, public, or shared with specific AWS accounts.</strong></li> <li><strong>They cannot be modified directly</strong>—instances must be updated and re-imaged.</li> </ul>
How is an AMI created?	<ul> <li><strong>Launch an EC2 instance, configure it, and create an AMI snapshot.</strong></li> <li><strong>The AMI includes an EBS snapshot of the root volume.</strong></li> <li><strong>Instances launched from the AMI use the same base configuration.</strong></li> </ul>
What happens if an EC2 instance is terminated?	<ul> <li><strong>Instance store data is lost permanently.</strong></li> <li><strong>EBS volumes with 'Delete on Termination' enabled are also deleted.</strong></li> <li><strong>EBS volumes not marked for deletion persist.</strong></li> </ul>
